Recipe name,Recipe Link,Image
Кунжутное печенье,https://cooklikemary.ru//recipe/desert-i-vypechka/pechene/kunzhutnoe-pechene,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_1058-2.jpg?itok=4xuW1df1
Банановый кекс,https://cooklikemary.ru//recipe/desert-i-vypechka/keks-maffiny-kulich/bananovyy-keks,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_0176-2.jpg?itok=B3LRmpLM
Минестроне с чечевицей,https://cooklikemary.ru//recipe/sup/minestrone-s-chechevicey,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_0153-2.jpg?itok=CoqPLBo9
Салат «Нисуаз» с консервированным тунцом,https://cooklikemary.ru//recipe/salat/salat-nisuaz-s-konservirovannym-tuncom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_0001.jpg?itok=ZSRGlCkI
Булочка с корицей или синнабон,https://cooklikemary.ru//recipe/desert-i-vypechka/bulochka-s-koricey-ili-sinnabon,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_0081-4.jpg?itok=559zEVkm
Песочное печенье с карамельным окошком,https://cooklikemary.ru//recipe/desert-i-vypechka/pechene/pesochnoe-pechene-s-karamelnym-okoshkom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_0051-4-2.jpg?itok=SLuKwJJf
Галета с клубникой,https://cooklikemary.ru//recipe/pirogi/galeta-s-klubnikoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_20200202_192205_489_1.jpg?itok=qXJzJITS
Печенье дабл-шоколад,https://cooklikemary.ru//recipe/desert-i-vypechka/pechene/pechene-dabl-shokolad,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9994-5.jpg?itok=c1rp6BZD
Запеченная спаржа,https://cooklikemary.ru//recipe/garnir/zapechennaya-sparzha,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9915.jpg?itok=LHBog9Jw
Жареные кальмары с карамельным луком по-испански,https://cooklikemary.ru//recipe/moreprodukty/zharenye-kalmary-s-karamelnym-lukom-po-ispanski,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9717-2.jpg?itok=c1aErLPa
"Оливье с нежной куриной грудкой, битыми огурцами и соусом аойли",https://cooklikemary.ru//recipe/salat/olive-s-nezhnoy-kurinoy-grudkoy-bitymi-ogurcami-i-sousom-aoyli,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9859_1.jpg?itok=STcMhHhV
Творожный штоллен,https://cooklikemary.ru//recipe/desert-i-vypechka/keks-maffiny-kulich/tvorozhnyy-shtollen-0,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9890_0.jpg?itok=fVql3Jcq
Салат с киноа и печёной тыквой,https://cooklikemary.ru//recipe/salat/salat-s-kinoa-i-pechyonoy-tykvoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9773_0.jpg?itok=tRN1ZD7R
Рождественский кекс с сухофруктами и орехами,https://cooklikemary.ru//recipe/desert-i-vypechka/keks-maffiny-kulich/rozhdestvenskiy-keks-s-suhofruktami-i-orehami-0,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/bez_imeni_1_iz_1-282_1.jpg?itok=GpQgQzzp
Уха по-фински,https://cooklikemary.ru//recipe/sup/uha-po-finski,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9696_0.jpg?itok=zfvUfjae
Макароны по-флотски,https://cooklikemary.ru//recipe/pastakrupa/makarony-po-flotski,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9751-3.jpg?itok=KghLKlz0
Пирог с творогом и клубникой,https://cooklikemary.ru//recipe/pirogi/pirog-s-tvorogom-i-klubnikoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9659-2.jpg?itok=Y2Rmrnjd
